train_auc,valid_auc,test_auc,test_mid_0_auc,test_mid_1_auc,test_mid_2_auc,test_mid_3_auc,test_mid_4_auc,test_mid_5_auc,test_mid_6_auc,test_mid_7_auc,test_mid_8_auc,test_mid_9_auc
0.999985,0.995581,0.684676,0.679825,0.704835,0.613072,0.618829,0.705729,0.617273,0.645325,0.645214,0.499036,0.420801
0.999988,0.995621,0.685573,0.681335,0.702949,0.613826,0.620727,0.705482,0.617813,0.647315,0.645946,0.500796,0.426222
0.99999,0.995657,0.683931,0.680361,0.699762,0.616605,0.62215,0.708218,0.614427,0.646562,0.648615,0.50369,0.423177
0.999992,0.995688,0.683229,0.678572,0.699511,0.616688,0.619589,0.706944,0.613805,0.647131,0.646483,0.500361,0.424443
0.999994,0.995718,0.682603,0.679046,0.69782,0.616997,0.617983,0.707639,0.614556,0.64818,0.645821,0.50264,0.427197
0.999995,0.995753,0.682918,0.678995,0.699784,0.617309,0.618746,0.707601,0.616275,0.648608,0.645327,0.500967,0.426542
0.999996,0.995786,0.683469,0.679384,0.69683,0.61758,0.620184,0.707193,0.617353,0.647412,0.642296,0.502875,0.428761
0.999997,0.995813,0.681003,0.679707,0.695901,0.616607,0.618143,0.706839,0.616291,0.648081,0.643424,0.501272,0.425506
0.999997,0.99583,0.681182,0.679717,0.696972,0.618687,0.616425,0.707465,0.617065,0.64815,0.643341,0.503637,0.426192
0.999998,0.995855,0.680383,0.677486,0.698754,0.618653,0.616213,0.708748,0.615636,0.650596,0.641942,0.505664,0.424982
0.999998,0.995881,0.680452,0.677518,0.700736,0.618307,0.616486,0.708101,0.614564,0.651589,0.64064,0.50423,0.426914
0.999999,0.995903,0.68136,0.678194,0.700593,0.618391,0.615219,0.708883,0.614964,0.650344,0.638003,0.500499,0.428416
0.999999,0.995921,0.680958,0.678214,0.698853,0.616633,0.615156,0.710059,0.615875,0.649537,0.635806,0.502582,0.426864
0.999999,0.995945,0.680502,0.679263,0.697094,0.616163,0.614514,0.71191,0.614716,0.64869,0.634921,0.502226,0.420841
0.999999,0.995966,0.678873,0.67954,0.698221,0.61563,0.614481,0.714364,0.614893,0.647459,0.636337,0.499977,0.421299
0.999999,0.995989,0.679411,0.677365,0.697991,0.614702,0.615179,0.711877,0.615067,0.646624,0.636045,0.498269,0.424045
0.999999,0.996012,0.679499,0.67807,0.697688,0.616126,0.615987,0.713756,0.615433,0.644368,0.636946,0.495523,0.424846
0.999999,0.996035,0.679775,0.678183,0.695037,0.614782,0.615934,0.712351,0.615609,0.643022,0.637519,0.494471,0.424661
0.999999,0.996051,0.680209,0.677946,0.695265,0.615788,0.617271,0.709885,0.616388,0.641797,0.637405,0.492561,0.422464
1.0,0.996065,0.680297,0.677651,0.694363,0.617449,0.616181,0.710634,0.616531,0.642971,0.638322,0.492221,0.420857
1.0,0.99608,0.680245,0.679841,0.68921,0.61682,0.615999,0.708882,0.614635,0.641419,0.635262,0.492686,0.419753
1.0,0.996093,0.679894,0.679217,0.68995,0.615732,0.61668,0.708188,0.613855,0.639172,0.633791,0.492739,0.418727
1.0,0.996103,0.679345,0.677096,0.687724,0.616532,0.615639,0.708423,0.613406,0.639392,0.635013,0.490933,0.418623
1.0,0.996109,0.679248,0.676619,0.689126,0.617083,0.61604,0.708224,0.614359,0.640819,0.630566,0.49323,0.418715
1.0,0.996128,0.679363,0.679784,0.689809,0.61703,0.613364,0.707794,0.615932,0.641904,0.633222,0.492042,0.422461
1.0,0.996143,0.678726,0.678612,0.690347,0.615624,0.612411,0.708861,0.616322,0.641266,0.633978,0.493991,0.423783
1.0,0.996156,0.678232,0.679632,0.6882,0.615866,0.611946,0.708366,0.616827,0.64245,0.635571,0.492287,0.421766
1.0,0.996168,0.679374,0.678949,0.689998,0.614674,0.61275,0.706122,0.616818,0.643418,0.637141,0.494922,0.421801
1.0,0.996182,0.678211,0.677194,0.691455,0.615747,0.614129,0.707308,0.617787,0.640103,0.637808,0.496957,0.423166
1.0,0.996192,0.678513,0.676428,0.688534,0.614684,0.616516,0.706624,0.616831,0.640997,0.642418,0.496032,0.41999
1.0,0.996197,0.678658,0.676913,0.687071,0.61512,0.615336,0.706591,0.617213,0.640823,0.64134,0.493607,0.420635
1.0,0.996208,0.678598,0.676481,0.686867,0.615735,0.613498,0.705473,0.617747,0.642197,0.64062,0.493715,0.421962
1.0,0.996213,0.677955,0.674756,0.686317,0.615226,0.610876,0.705839,0.61844,0.64216,0.64053,0.492797,0.421686
1.0,0.996224,0.677548,0.675948,0.686674,0.615153,0.612235,0.708166,0.617706,0.643157,0.640886,0.492922,0.422937
1.0,0.996232,0.677794,0.677794,0.687686,0.614613,0.611204,0.707775,0.617618,0.643221,0.643823,0.492767,0.422239
1.0,0.996239,0.678198,0.676118,0.688176,0.615587,0.611693,0.708235,0.61607,0.642532,0.643312,0.495917,0.417876
1.0,0.996247,0.678773,0.676068,0.688926,0.615118,0.611759,0.709193,0.615983,0.643627,0.640559,0.495474,0.41495
1.0,0.996258,0.67939,0.675038,0.689107,0.611761,0.61317,0.711941,0.616249,0.644702,0.639303,0.493305,0.416093
1.0,0.996271,0.679824,0.67619,0.69115,0.613314,0.613572,0.712348,0.616799,0.644358,0.637545,0.494661,0.415097
1.0,0.996279,0.679392,0.67516,0.690286,0.613755,0.613745,0.714936,0.616035,0.646019,0.635883,0.498441,0.414464
1.0,0.996285,0.677921,0.674865,0.689254,0.614446,0.613529,0.713315,0.615343,0.646781,0.637089,0.495983,0.410568
1.0,0.996291,0.678241,0.676151,0.687309,0.61447,0.614296,0.713709,0.617564,0.648636,0.638842,0.497127,0.409464
1.0,0.996299,0.67802,0.676646,0.686781,0.613123,0.611555,0.713954,0.617007,0.649835,0.638569,0.497488,0.409875
1.0,0.996311,0.678487,0.677608,0.687402,0.6138,0.612848,0.71633,0.616643,0.649842,0.637675,0.496812,0.411913
1.0,0.996318,0.677805,0.677745,0.687232,0.614668,0.613228,0.718485,0.617009,0.650941,0.637956,0.496396,0.412215
1.0,0.996328,0.677489,0.677468,0.687517,0.615378,0.612567,0.718602,0.617482,0.64983,0.636364,0.497231,0.410479
1.0,0.996333,0.678296,0.67732,0.688431,0.615035,0.613852,0.718066,0.616444,0.650217,0.634647,0.497054,0.407856
1.0,0.996343,0.677781,0.676428,0.68845,0.61559,0.61344,0.718339,0.616959,0.649251,0.632736,0.496356,0.407352
1.0,0.996344,0.678546,0.676263,0.687688,0.615915,0.615135,0.718039,0.617046,0.64813,0.632295,0.497148,0.407171
1.0,0.996354,0.679034,0.675693,0.687047,0.615981,0.615858,0.717709,0.617659,0.647089,0.632017,0.49883,0.408218
1.0,0.996363,0.678992,0.676388,0.686817,0.616663,0.617048,0.719298,0.617945,0.647689,0.632667,0.499698,0.411153
1.0,0.99637,0.678636,0.675942,0.686403,0.616123,0.61779,0.716604,0.61761,0.646937,0.631021,0.498842,0.411022
1.0,0.996378,0.678796,0.676766,0.688345,0.615939,0.619426,0.717663,0.617803,0.646381,0.631188,0.500157,0.410816
