train_logloss,valid_logloss,test_logloss,test_mid_0_logloss,test_mid_1_logloss,test_mid_2_logloss,test_mid_3_logloss,test_mid_4_logloss,test_mid_5_logloss,test_mid_6_logloss,test_mid_7_logloss,test_mid_8_logloss,test_mid_9_logloss
0.0356685,0.090017,0.234324,0.697956,0.620623,0.608003,0.446992,0.416445,0.360385,0.320407,0.413023,0.453795,0.401856
0.0344548,0.0891752,0.233794,0.695677,0.623242,0.608127,0.446573,0.416718,0.3595,0.319385,0.413278,0.45403,0.401659
0.0333097,0.0883658,0.233365,0.696532,0.625527,0.609254,0.447583,0.416068,0.360225,0.321522,0.414763,0.454233,0.402255
0.0322021,0.0876485,0.233315,0.702278,0.630485,0.607511,0.449498,0.415454,0.361209,0.323355,0.413934,0.456295,0.404557
0.0311314,0.0869746,0.232717,0.703435,0.63107,0.608863,0.449582,0.416513,0.358911,0.321851,0.415725,0.455797,0.405151
0.0300445,0.0862924,0.232446,0.709197,0.631522,0.611827,0.451064,0.417338,0.360472,0.321684,0.415511,0.456792,0.407512
0.0290151,0.0856063,0.232195,0.711155,0.631192,0.614504,0.45174,0.417041,0.359068,0.322,0.414049,0.45668,0.407085
0.0280337,0.0849445,0.231223,0.713709,0.635251,0.612009,0.452878,0.418658,0.359949,0.320615,0.4145,0.459966,0.406984
0.0270942,0.0843293,0.231412,0.715753,0.637492,0.612041,0.455231,0.415784,0.360454,0.319788,0.415564,0.461851,0.408212
0.026141,0.083792,0.231187,0.717852,0.638195,0.612226,0.456104,0.417257,0.359168,0.319273,0.41473,0.462739,0.408625
0.0252591,0.0832322,0.23127,0.722712,0.639452,0.613619,0.455339,0.417794,0.360792,0.316961,0.414803,0.460588,0.408112
0.0244081,0.0826915,0.231229,0.727288,0.638344,0.615729,0.456043,0.417691,0.363234,0.316448,0.41496,0.462184,0.410091
0.0235797,0.0821999,0.230901,0.728165,0.641277,0.618174,0.456423,0.419969,0.365546,0.31876,0.415121,0.464857,0.408481
0.0227948,0.0817625,0.23079,0.731607,0.642838,0.6202,0.457426,0.420014,0.36471,0.318314,0.416708,0.46628,0.409163
0.0220576,0.0812941,0.230865,0.73197,0.645214,0.621851,0.458578,0.420017,0.364378,0.316958,0.418115,0.465213,0.409541
0.0213221,0.080854,0.231196,0.734134,0.646662,0.624833,0.458989,0.423672,0.365124,0.318256,0.418646,0.465182,0.409437
0.020591,0.0804082,0.230322,0.738896,0.648267,0.626864,0.458125,0.426475,0.362967,0.317558,0.420639,0.462591,0.409354
0.0199146,0.0799818,0.230056,0.739535,0.652514,0.625327,0.460613,0.4271,0.362848,0.317965,0.419899,0.463171,0.408049
0.0192624,0.0795434,0.229855,0.742271,0.656522,0.626251,0.461527,0.426887,0.364713,0.318248,0.419238,0.46301,0.408544
0.0186198,0.0791764,0.228879,0.742612,0.6551,0.625146,0.458664,0.425989,0.36394,0.316832,0.418628,0.462262,0.407613
0.01801,0.0788367,0.22913,0.745028,0.656392,0.624743,0.461211,0.42704,0.364338,0.316684,0.420721,0.464618,0.407601
0.0174049,0.0785105,0.229776,0.74867,0.659009,0.62825,0.46251,0.428914,0.365336,0.319109,0.42116,0.462673,0.409107
0.0168413,0.0782065,0.229603,0.750135,0.662139,0.630468,0.464987,0.429935,0.36503,0.319409,0.421217,0.46215,0.408111
0.016286,0.0779331,0.22873,0.748023,0.664851,0.629878,0.46481,0.428879,0.362151,0.318657,0.420974,0.461652,0.409052
0.0157648,0.077677,0.228401,0.747699,0.664093,0.632387,0.464935,0.428246,0.361794,0.317583,0.421386,0.45975,0.409443
0.0152463,0.0773514,0.228592,0.749196,0.662697,0.633293,0.467386,0.431027,0.361364,0.317318,0.421014,0.462897,0.408688
0.0147505,0.0770888,0.228778,0.754886,0.665594,0.639769,0.468313,0.431864,0.362198,0.318208,0.420904,0.463335,0.407107
0.0142772,0.0768478,0.228729,0.752824,0.667381,0.640654,0.469984,0.432478,0.361034,0.317807,0.421737,0.463366,0.40851
0.0138138,0.0765956,0.22861,0.756196,0.668039,0.64437,0.471598,0.434596,0.362052,0.31773,0.422151,0.464239,0.410633
0.0133747,0.0763889,0.228921,0.758106,0.666073,0.642907,0.471664,0.433828,0.361275,0.319473,0.421882,0.465275,0.409801
0.0129483,0.0761771,0.22936,0.760747,0.669377,0.645501,0.470825,0.433828,0.361853,0.320736,0.424396,0.4652,0.41102
