train_logloss,valid_logloss,test_logloss,test_mid_0_logloss,test_mid_1_logloss,test_mid_2_logloss,test_mid_3_logloss,test_mid_4_logloss,test_mid_5_logloss,test_mid_6_logloss,test_mid_7_logloss,test_mid_8_logloss,test_mid_9_logloss
0.105452,0.184536,0.326526,0.68752,0.582995,0.600101,0.471917,0.443951,0.425337,0.38727,0.46867,0.474729,0.470153
0.103195,0.183028,0.326761,0.687552,0.583846,0.603444,0.471625,0.444489,0.426729,0.387906,0.470449,0.474531,0.472063
0.100968,0.181682,0.325651,0.686787,0.583822,0.60535,0.472255,0.444358,0.425664,0.387812,0.469341,0.474033,0.471535
0.0988771,0.180449,0.325315,0.687731,0.584177,0.605068,0.47165,0.44436,0.425096,0.386955,0.469801,0.474578,0.470614
0.0968274,0.179204,0.325334,0.686791,0.583768,0.605521,0.470901,0.443811,0.424218,0.385933,0.46975,0.475136,0.471163
0.094744,0.177907,0.324921,0.686502,0.581931,0.608878,0.471361,0.442693,0.424058,0.38571,0.469066,0.475637,0.473138
0.092873,0.176727,0.324054,0.686749,0.582454,0.607051,0.470157,0.441364,0.423046,0.38529,0.468831,0.475731,0.47302
0.0908103,0.175471,0.324254,0.690649,0.584843,0.609645,0.471111,0.441607,0.423325,0.384705,0.469678,0.475745,0.473408
0.0886093,0.174156,0.323662,0.690889,0.584718,0.611636,0.471325,0.441904,0.42321,0.383368,0.470388,0.475258,0.473122
0.0866519,0.172931,0.323439,0.69293,0.583723,0.611866,0.470364,0.441823,0.423012,0.382417,0.46923,0.474649,0.47338
0.0847924,0.171742,0.323064,0.694394,0.58389,0.613897,0.469862,0.442554,0.42011,0.383408,0.469045,0.475295,0.474031
0.0831224,0.170723,0.322547,0.696481,0.585038,0.613813,0.471141,0.44315,0.422007,0.383629,0.469035,0.475158,0.474629
0.0815803,0.169804,0.322086,0.697708,0.585311,0.616515,0.472314,0.442267,0.421486,0.383737,0.468221,0.475873,0.473007
0.0799599,0.168845,0.321991,0.698819,0.587449,0.618655,0.473442,0.441582,0.422085,0.383698,0.467976,0.475774,0.472659
0.0782231,0.16769,0.321571,0.700429,0.587745,0.622241,0.47442,0.442479,0.424113,0.383472,0.469508,0.475601,0.472619
0.0766533,0.16682,0.321624,0.700075,0.588512,0.62224,0.474505,0.444035,0.42319,0.383177,0.469115,0.475169,0.472709
0.0751655,0.165942,0.321683,0.698833,0.588533,0.624252,0.47514,0.443333,0.423385,0.38355,0.47032,0.47564,0.47325
0.0735966,0.165015,0.321518,0.700881,0.589151,0.626971,0.474676,0.443182,0.423472,0.38394,0.470757,0.477716,0.474745
0.0722412,0.164208,0.321042,0.700136,0.587768,0.626568,0.474425,0.44266,0.422511,0.382957,0.47023,0.477185,0.474212
0.0704997,0.163174,0.320635,0.700644,0.585489,0.626798,0.473972,0.442856,0.422303,0.382171,0.471072,0.477142,0.473701
0.0687819,0.162074,0.320131,0.700716,0.5846,0.627655,0.473432,0.443214,0.423214,0.381827,0.471044,0.477969,0.472245
0.0671498,0.161093,0.319926,0.702212,0.583671,0.628952,0.473874,0.44419,0.42174,0.381404,0.471599,0.476624,0.47278
0.0658235,0.160329,0.319574,0.702497,0.584439,0.630184,0.475028,0.445292,0.421976,0.381923,0.472123,0.477678,0.473162
0.0644698,0.159549,0.319664,0.704911,0.58666,0.629603,0.475659,0.445164,0.421896,0.382245,0.472095,0.478036,0.473274
0.06316,0.158769,0.31965,0.708958,0.586459,0.632131,0.475304,0.444997,0.420693,0.382414,0.472024,0.477164,0.475073
0.0617126,0.157928,0.319854,0.709621,0.586879,0.632216,0.475309,0.444892,0.421194,0.381626,0.472043,0.477294,0.475364
0.0604586,0.157195,0.319435,0.710575,0.587182,0.636119,0.474964,0.444717,0.42099,0.381033,0.47333,0.476698,0.475973
0.0593507,0.156561,0.319535,0.712045,0.587863,0.635563,0.473963,0.444737,0.422095,0.381148,0.474188,0.476891,0.475353
0.0580855,0.155841,0.319563,0.713786,0.587998,0.635904,0.473488,0.443349,0.422734,0.381203,0.473328,0.477358,0.474552
0.0568779,0.155078,0.319278,0.713075,0.58818,0.637354,0.473061,0.442925,0.422891,0.380723,0.475275,0.478929,0.475113
0.0556859,0.154351,0.319201,0.713328,0.588628,0.639638,0.473813,0.443183,0.423549,0.380692,0.475872,0.481147,0.475139
0.0544992,0.153682,0.318698,0.713701,0.588576,0.639094,0.473491,0.443751,0.423072,0.379269,0.476349,0.480525,0.475813
0.0533685,0.153044,0.318759,0.716512,0.590015,0.63895,0.473159,0.44381,0.423128,0.379271,0.476387,0.482177,0.475278
0.0523689,0.152478,0.318627,0.71561,0.592056,0.638022,0.474545,0.445039,0.424606,0.378588,0.47639,0.481487,0.476336
0.0513642,0.151959,0.318806,0.716991,0.59359,0.639691,0.474563,0.445955,0.424534,0.379063,0.476307,0.481771,0.477474
0.0503547,0.151329,0.318711,0.716714,0.593658,0.642124,0.474011,0.446092,0.423746,0.378295,0.476171,0.482047,0.47677
0.0495122,0.150877,0.319268,0.716449,0.594438,0.643543,0.473422,0.44631,0.42378,0.378622,0.477503,0.482077,0.47828
