train_acc,valid_acc,test_acc,test_mid_0_acc,test_mid_1_acc,test_mid_2_acc,test_mid_3_acc,test_mid_4_acc,test_mid_5_acc,test_mid_6_acc,test_mid_7_acc,test_mid_8_acc,test_mid_9_acc
0.99747,0.967505,0.919685,0.7227,0.7444999999999999,0.7662,0.8432,0.8458,0.88,0.8922,0.84415,0.8201,0.8438
0.99767833,0.96779,0.92022,0.7236,0.745,0.76705,0.844,0.8457,0.8801,0.89255,0.84555,0.8217,0.84575
0.997955,0.96797,0.92014,0.7264999999999999,0.7455,0.7677,0.8452999999999999,0.84815,0.8815999999999999,0.8935,0.84465,0.82115,0.8451
0.998185,0.968205,0.92016,0.7274,0.7443500000000001,0.7672,0.8442000000000001,0.84845,0.8815,0.89385,0.84575,0.8222,0.84565
0.99839,0.968385,0.920305,0.7287,0.7438,0.76795,0.844,0.84825,0.88145,0.89435,0.8459,0.82205,0.8462000000000001
0.99855,0.968375,0.920475,0.72795,0.7434000000000001,0.76795,0.8447,0.8498,0.881,0.89305,0.8469,0.8226,0.847
0.99869333,0.968755,0.920335,0.7279,0.7433000000000001,0.76875,0.8458,0.8502000000000001,0.8814,0.8924,0.84715,0.8225,0.8476
0.99884,0.968825,0.920435,0.729,0.7434499999999999,0.7685,0.8452999999999999,0.8503000000000001,0.88275,0.8926000000000001,0.8461,0.82235,0.8478
0.999008333,0.969025,0.92034,0.7279,0.74375,0.76815,0.8461,0.84955,0.88235,0.8926000000000001,0.8471,0.82125,0.84585
0.999133333,0.96915,0.920215,0.7281500000000001,0.7431,0.76785,0.84585,0.85095,0.88225,0.8928,0.84705,0.82205,0.8464
0.999245,0.969455,0.920915,0.7274499999999999,0.7418,0.7692,0.8456,0.8523499999999999,0.8817,0.893,0.84815,0.8204,0.84665
0.999321667,0.969435,0.92093,0.7268,0.7428,0.7705500000000001,0.8456,0.85225,0.8818,0.89255,0.84715,0.82045,0.8465
0.99941,0.96962,0.92064,0.72635,0.74325,0.76965,0.8452999999999999,0.8528,0.8827,0.8925,0.84765,0.8207,0.8458
0.999488333,0.96972,0.920195,0.7243999999999999,0.74305,0.7696000000000001,0.8458,0.852,0.8831,0.8938,0.8485,0.8210999999999999,0.8447
0.999558333,0.96985,0.920445,0.72325,0.7434499999999999,0.76875,0.8472999999999999,0.853,0.8822,0.89385,0.849,0.8207,0.8442000000000001
0.999608333,0.969915,0.9205,0.7233499999999999,0.74265,0.7682,0.84755,0.8536,0.8818,0.89245,0.8493999999999999,0.8193,0.8445
0.999665,0.96997,0.92075,0.72455,0.7428,0.7678,0.8473999999999999,0.8537,0.8834,0.893,0.8485,0.819,0.84375
0.999698333,0.97,0.9205099999999999,0.7240500000000001,0.7424,0.76745,0.8481,0.85455,0.88315,0.89365,0.84815,0.8201,0.8439
0.999746667,0.97014,0.92006,0.72375,0.7425999999999999,0.76665,0.84715,0.8525,0.88285,0.89345,0.84905,0.8190500000000001,0.8443
0.999786667,0.97029,0.920385,0.7222999999999999,0.741,0.7663,0.8462000000000001,0.8522000000000001,0.8831,0.89405,0.84865,0.82035,0.8443
0.999808333,0.97035,0.92067,0.72395,0.7412000000000001,0.7665,0.84595,0.8524,0.88295,0.8938,0.8492500000000001,0.8201,0.8452999999999999
0.999821667,0.97038,0.92088,0.7246,0.74115,0.76615,0.8463499999999999,0.8523499999999999,0.88295,0.89465,0.85065,0.8212,0.84555
0.999855,0.970485,0.921095,0.725,0.7414000000000001,0.7665,0.8462000000000001,0.8513,0.88285,0.89575,0.85055,0.8216,0.84625
0.999881667,0.970635,0.920915,0.72635,0.7422500000000001,0.7674,0.84625,0.8509,0.88285,0.8962,0.8495,0.8205,0.84585
0.999896667,0.970725,0.920675,0.7236,0.74045,0.7677,0.8471,0.85095,0.8835,0.8949,0.8491,0.82155,0.84605
0.999905,0.97071,0.9208149999999999,0.72315,0.74015,0.76695,0.84705,0.85055,0.8835,0.89535,0.84985,0.82275,0.8456
0.9999133333,0.970795,0.921125,0.7240500000000001,0.74105,0.76785,0.84695,0.8507,0.8844,0.8952,0.84975,0.8233,0.84555
0.99992,0.97088,0.92113,0.72565,0.74135,0.7681,0.84705,0.8516,0.88395,0.8956500000000001,0.8497,0.8236,0.8456
0.9999283333,0.97085,0.921295,0.72495,0.7427,0.76805,0.848,0.85045,0.88465,0.89605,0.84985,0.8231999999999999,0.84615
0.99993,0.970865,0.921385,0.72365,0.7423,0.76825,0.8477,0.8511,0.88535,0.8969,0.8512500000000001,0.8237,0.84815
0.999935,0.970925,0.92156,0.7255,0.74135,0.7686999999999999,0.84795,0.8513999999999999,0.8863,0.89725,0.8509,0.82365,0.8479
0.9999366667,0.97102,0.921575,0.7261500000000001,0.743,0.76715,0.84585,0.85105,0.8855500000000001,0.89725,0.8505,0.8230999999999999,0.8458
0.9999366667,0.971035,0.921515,0.726,0.74465,0.7685500000000001,0.8473999999999999,0.8512500000000001,0.8857,0.8964,0.8511,0.8227,0.84715
0.9999383333,0.97111,0.92147,0.72595,0.7436,0.76945,0.8472999999999999,0.85115,0.88595,0.8958,0.8512500000000001,0.823,0.8464
0.9999383333,0.97115,0.921685,0.7262500000000001,0.7425999999999999,0.76935,0.847,0.85155,0.88535,0.8956,0.85155,0.8214,0.8487
0.99994,0.97123,0.92188,0.7255499999999999,0.7442,0.7701,0.8471,0.8512500000000001,0.88585,0.89655,0.8517,0.8210999999999999,0.8495
0.99994,0.97127,0.9216,0.72575,0.7435,0.7686999999999999,0.84785,0.8525,0.8863,0.8956999999999999,0.8515,0.82115,0.8492
0.99994,0.971345,0.921665,0.7257,0.7443,0.7682,0.84815,0.8522000000000001,0.887,0.8942,0.85165,0.8220000000000001,0.8485
0.99994,0.97135,0.921525,0.72505,0.7459,0.7681,0.8483499999999999,0.85345,0.8855,0.8946000000000001,0.8512,0.8197,0.8483499999999999
0.99994,0.971465,0.921475,0.7251000000000001,0.7456,0.7684,0.8484,0.8539,0.8854,0.8951,0.85145,0.82025,0.8489
0.99994,0.971435,0.92146,0.7258,0.74595,0.76895,0.84845,0.85495,0.88645,0.8962,0.8513999999999999,0.81865,0.84885
0.99994,0.971415,0.92164,0.7244999999999999,0.74535,0.7668,0.84805,0.8538,0.88645,0.8951,0.8501,0.8184,0.8475
0.99994,0.97141,0.921735,0.7253000000000001,0.7455499999999999,0.76545,0.8497,0.85425,0.88655,0.89485,0.85145,0.81745,0.849
0.99994,0.97152,0.92164,0.72635,0.7453000000000001,0.76585,0.84895,0.8548,0.8867,0.89515,0.85065,0.81775,0.84905
0.99994,0.971585,0.921625,0.727,0.7464,0.76585,0.8487,0.8548,0.887,0.8954,0.85145,0.81755,0.84685
0.99994,0.97156,0.921875,0.72715,0.74655,0.76545,0.8492,0.8549,0.8864,0.8961,0.852,0.8179,0.8489
0.99994,0.97156,0.92239,0.7269,0.74545,0.76535,0.84875,0.85495,0.887,0.89575,0.8517,0.81715,0.84995
0.99994,0.971705,0.9225099999999999,0.72655,0.74615,0.76595,0.8488,0.85545,0.8877,0.8962,0.8523000000000001,0.8161,0.84905
0.99994,0.97166,0.9226,0.72685,0.74535,0.76535,0.84875,0.85555,0.88765,0.8969,0.8521,0.8168,0.84885
0.99994,0.97165,0.922695,0.7273000000000001,0.7455,0.7651,0.8493999999999999,0.8552,0.8866,0.89655,0.85115,0.815,0.8489
0.99994,0.971735,0.9226300000000001,0.7259,0.74595,0.7642,0.84935,0.8539,0.88625,0.897,0.8503499999999999,0.8160499999999999,0.84965
0.99994,0.971765,0.922505,0.7275499999999999,0.74695,0.7654,0.84915,0.8542,0.8871,0.89685,0.8501,0.815,0.8492500000000001
0.99994,0.97186,0.922655,0.72775,0.7457,0.7641,0.84945,0.85465,0.88745,0.8971,0.8505,0.8142,0.84955
0.99994,0.971895,0.92259,0.7289,0.74415,0.764,0.84875,0.85425,0.88735,0.8967,0.8496,0.81325,0.8504
0.99994,0.97193,0.922355,0.7289,0.745,0.76475,0.8487,0.85455,0.88705,0.89655,0.85025,0.81445,0.84955
0.99994,0.971885,0.922435,0.72715,0.74455,0.7651,0.8478,0.8548,0.88745,0.8956999999999999,0.8502000000000001,0.8160000000000001,0.84885
0.99994,0.971835,0.92242,0.7263,0.7446999999999999,0.76485,0.8492,0.8546,0.88655,0.89545,0.85115,0.81635,0.8497
